run,group,dataset,arm,lr,rec,clock,seed,is_audit,validation_mrr,test_mrr,test_hits10,best_track_epoch,train_epochs_run,params_total,params_active,query_audit_affected_total,query_audit_parity,retained_test_mrr,replay_minus_retained_test,reused_retained,finished
icews_curonly_recon_s46,icews,tkgl-icews,current-only-maps,0.003,on,global,46,False,0.3172495556136679,0.3280833707624208,0.5230176952749808,4,6.0,660043.0,660043.0,0.0,True,,,False,2026-09-23 05:51
icews_curonly_recon_s47,icews,tkgl-icews,current-only-maps,0.003,on,global,47,False,0.3186298265101607,0.3275226435823866,0.5232096812497739,6,6.0,660043.0,660043.0,0.0,True,,,False,2026-09-23 10:11
icews_gru_recon_s43,icews,tkgl-icews,gru-ordinary,0.003,on,global,43,False,0.3210799588327764,0.3367459775490862,0.5374065498570652,5,6.0,62375.0,62247.0,0.0,True,,,False,2026-09-23 07:34
wiki_attention_s43_lr1e-3,matched,tgbl-wiki,attention-gates,0.001,on,global,43,False,0.763972737540753,0.7521457176730129,0.8529274800852188,8,8.0,444815.0,444815.0,0.0,True,,,False,2026-09-22 16:46
wiki_attention_s43_lr3e-4,matched,tgbl-wiki,attention-gates,0.0003,on,global,43,False,0.7487485781182666,0.7342421589331322,0.8469582152686602,8,8.0,444815.0,444815.0,0.0,True,,,False,2026-09-22 16:46
wiki_attention_s44_lr1e-3,matched,tgbl-wiki,attention-gates,0.001,on,global,44,False,0.7730088848149886,0.7603846258005529,0.8541552008969743,8,8.0,444815.0,444815.0,0.0,True,,,False,2026-09-22 19:46
wiki_attention_s45_lr1e-3,matched,tgbl-wiki,attention-gates,0.001,on,global,45,False,0.7664076714671934,0.754857757174945,0.8510647309704077,8,8.0,444815.0,444815.0,0.0,True,,,False,2026-09-22 20:15
wiki_attention_s46_lr1e-3,matched,tgbl-wiki,attention-gates,0.001,on,global,46,False,0.7588491960568269,0.7481497960630942,0.853520172992612,8,8.0,444815.0,444815.0,0.0,True,,,False,2026-09-22 19:29
wiki_attention_s47_lr1e-3,matched,tgbl-wiki,attention-gates,0.001,on,global,47,False,0.7807974151153224,0.7586333794411825,0.8497100041356843,7,8.0,444815.0,444815.0,0.0,True,,,False,2026-09-22 19:18
wiki_coreoff_s43_lr1e-3,matched,tgbl-wiki,core-off,0.001,on,global,43,False,0.7673990524701869,0.7440184061553293,0.8455611535858469,8,8.0,448844.0,8419.0,0.0,True,,,False,2026-09-22 10:02
wiki_coreoff_s43_lr3e-4,matched,tgbl-wiki,core-off,0.0003,on,global,43,False,0.7455295897119107,0.7255446388027437,0.8460268406267216,8,8.0,448844.0,8419.0,0.0,True,,,False,2026-09-22 10:40
wiki_coreoff_s44_lr1e-3,matched,tgbl-wiki,core-off,0.001,on,global,44,False,0.7564681428417789,0.7333773761882966,0.844079421099092,7,8.0,448844.0,8419.0,0.0,True,,,False,2026-09-22 15:43
