tag,split,queries,snapshots,candidates,pad_masked,pos_nonfinite,pos_nan,pos_posinf,pos_neginf,neg_nan,neg_posinf,neg_neginf,queries_with_invalid_neg,queries_affected,transformed_scores,rr_tgb_raw,rr_guarded,rr_conservative,hits_guarded,state_nonfinite_snapshots,rec_nonfinite_snapshots,mrr_tgb_raw,mrr_guarded,mrr_conservative,hits10_guarded,parity_raw_vs_guarded,parity_guarded_vs_conservative,run,group
forum_diag_recon_s47,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,2318077.237954864,2318077.237954864,2318077.237954864,2530030.0,0,0,0.650477820919956,0.650477820919956,0.650477820919956,0.7099540836327218,True,True,forum_diag_recon_s47,forum
forum_gru_norec_s43,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,1401406.8870437,1401406.8870437,1401406.8870437,1860230.0,0,0,0.3846153747260856,0.3846153747260856,0.3846153747260856,0.5105391340241043,True,True,forum_gru_norec_s43,forum
forum_gru_norec_s43,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,1363639.292978777,1363639.292978777,1363639.292978777,1800514.0,0,0,0.3826520968732862,0.3826520968732862,0.3826520968732862,0.5052439168460005,True,True,forum_gru_norec_s43,forum
forum_gru_norec_s46,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,1447305.360302509,1447305.360302509,1447305.360302509,1887640.0,0,0,0.3972121862980853,0.3972121862980853,0.3972121862980853,0.5180617939444372,True,True,forum_gru_norec_s46,forum
forum_gru_norec_s46,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,1401127.893877287,1401127.893877287,1401127.893877287,1825759.0,0,0,0.3931718082196238,0.3931718082196238,0.3931718082196238,0.5123279398976275,True,True,forum_gru_norec_s46,forum
forum_gru_norec_s47,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,1395400.9264838046,1395400.9264838046,1395400.9264838046,1962455.0,0,0,0.382967042045056,0.382967042045056,0.382967042045056,0.538594730899552,True,True,forum_gru_norec_s47,forum
forum_gru_norec_s47,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,1356716.9835480906,1356716.9835480906,1356716.9835480906,1908961.0,0,0,0.3807096211522532,0.3807096211522532,0.3807096211522532,0.5356753309034297,True,True,forum_gru_norec_s47,forum
forum_gru_rec_s43,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,2335487.2879971904,2335487.2879971904,2335487.2879971904,2546073.0,0,0,0.6409732439205849,0.6409732439205849,0.6409732439205849,0.6987683805670016,True,True,forum_gru_rec_s43,forum
forum_gru_rec_s43,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,2320142.529585732,2320142.529585732,2320142.529585732,2506828.0,0,0,0.6510573643353413,0.6510573643353413,0.6510573643353413,0.7034433487211016,True,True,forum_gru_rec_s43,forum
forum_gru_rec_s46,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,2313179.780754913,2313179.780754913,2313179.780754913,2482231.0,0,0,0.6348509604235395,0.6348509604235395,0.6348509604235395,0.6812469776252327,True,True,forum_gru_rec_s46,forum
forum_gru_rec_s46,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,2287218.7138854368,2287218.7138854368,2287218.7138854368,2437309.0,0,0,0.6418185816311063,0.6418185816311063,0.6418185816311063,0.6839355571375777,True,True,forum_gru_rec_s46,forum
forum_gru_rec_s47,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,2299054.2662535445,2299054.2662535445,2299054.2662535445,2486454.0,0,0,0.6309742204821486,0.6309742204821486,0.6309742204821486,0.6824059777289746,True,True,forum_gru_rec_s47,forum
forum_gru_rec_s47,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,2285796.916317832,2285796.916317832,2285796.916317832,2452603.0,0,0,0.6414196096864178,0.6414196096864178,0.6414196096864178,0.6882272207759846,True,True,forum_gru_rec_s47,forum
forum_gru_recoff_s44,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,1458450.7725541007,1458450.7725541007,1458450.7725541007,1938784.0,0,0,0.4002710387621727,0.4002710387621727,0.4002710387621727,0.5320982375404059,True,True,forum_gru_recoff_s44,forum
forum_gru_recoff_s44,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,1402682.3875792762,1402682.3875792762,1402682.3875792762,1865859.0,0,0,0.3936080161506399,0.3936080161506399,0.3936080161506399,0.5235804383872391,True,True,forum_gru_recoff_s44,forum
forum_nodeframe_rec_s43,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,2275263.3855376607,2275263.3855376607,2275263.3855376607,2436763.0,0,0,0.6244448259242938,0.6244448259242938,0.6244448259242938,0.66876830921014,True,True,forum_nodeframe_rec_s43,forum
forum_nodeframe_rec_s43,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,2258067.277602559,2258067.277602559,2258067.277602559,2415300.0,0,0,0.6336383698420017,0.6336383698420017,0.6336383698420017,0.6777595910712968,True,True,forum_nodeframe_rec_s43,forum
forum_nodeframe_recoff_s43,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,1467345.5090519902,1467345.5090519902,1467345.5090519902,2071345.0,0,0,0.4027121944628146,0.4027121944628146,0.4027121944628146,0.5684795334798162,True,True,forum_nodeframe_recoff_s43,forum
forum_nodeframe_recoff_s43,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,1418250.4116524593,1418250.4116524593,1418250.4116524593,2014623.0,0,0,0.3979765739404087,0.3979765739404087,0.3979765739404087,0.5653252435071541,True,True,forum_nodeframe_recoff_s43,forum
forum_nodeframe_recoff_s46,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,1460818.8516930602,1460818.8516930602,1460818.8516930602,2032855.0,0,0,0.400920956822254,0.400920956822254,0.400920956822254,0.5579159734530519,True,True,forum_nodeframe_recoff_s46,forum
forum_nodeframe_recoff_s46,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,1429418.052444058,1429418.052444058,1429418.052444058,2002162.0,0,0,0.4011103360636004,0.4011103360636004,0.4011103360636004,0.5618285506473273,True,True,forum_nodeframe_recoff_s46,forum
forum_tsd_recoff_s44,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,833570.712317989,833570.712317989,833570.712317989,1364681.0,0,0,0.2287730386106459,0.2287730386106459,0.2287730386106459,0.3745359745618277,True,True,forum_tsd_recoff_s44,forum
forum_tsd_recoff_s44,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,827750.6852221865,827750.6852221865,827750.6852221865,1329312.0,0,0,0.2322758936468243,0.2322758936468243,0.2322758936468243,0.3730194830978212,True,True,forum_tsd_recoff_s44,forum
forum_tsd_recoff_s45,val,3643658,699,364365800,0,0,0,0,0,0,0,0,0,0,0,1440281.14116519,1440281.14116519,1440281.14116519,1964520.0,0,0,0.3952843930921041,0.3952843930921041,0.3952843930921041,0.5391614690511568,True,True,forum_tsd_recoff_s45,forum
forum_tsd_recoff_s45,test,3563653,625,356365300,0,0,0,0,0,0,0,0,0,0,0,1391960.8854995903,1391960.8854995903,1391960.8854995903,1900375.0,0,0,0.3905994454284944,0.3905994454284944,0.3905994454284944,0.5332660054163523,True,True,forum_tsd_recoff_s45,forum
wiki_coreoff_s43_lr1e-3,val,87621,2129,87533377,2,0,0,0,0,0,0,0,0,0,0,66135.82079645095,66135.82079645095,66135.82079645095,76965.0,0,0,0.754794179437018,0.754794179437018,0.754794179437018,0.8783853185880097,True,True,wiki_coreoff_s43_lr1e-3,matched
wiki_coreoff_s43_lr1e-3,test,23621,767,23597377,2,0,0,0,0,0,0,0,0,0,0,17574.458689233317,17574.458689233317,17574.458689233317,19973.0,0,0,0.7440184026600617,0.7440184026600617,0.7440184026600617,0.8455611532111257,True,True,wiki_coreoff_s43_lr1e-3,matched
wiki_coreoff_s43_lr3e-4,val,87621,2129,87533377,2,0,0,0,0,0,0,0,0,0,0,63641.3503881852,63641.3503881852,63641.3503881852,76850.0,0,0,0.7263253145728216,0.7263253145728216,0.7263253145728216,0.877072847833282,True,True,wiki_coreoff_s43_lr3e-4,matched
wiki_coreoff_s43_lr3e-4,test,23621,767,23597377,2,0,0,0,0,0,0,0,0,0,0,17138.08985038947,17138.08985038947,17138.08985038947,19984.0,0,0,0.7255446361453567,0.7255446361453567,0.7255446361453567,0.8460268405232632,True,True,wiki_coreoff_s43_lr3e-4,matched
wiki_coreoff_s44_lr1e-3,val,87621,2129,87533377,2,0,0,0,0,0,0,0,0,0,0,65255.43798841201,65255.43798841201,65255.43798841201,76887.0,0,0,0.7447465560586163,0.7447465560586163,0.7447465560586163,0.8774951210326292,True,True,wiki_coreoff_s44_lr1e-3,matched
wiki_coreoff_s44_lr1e-3,test,23621,767,23597377,2,0,0,0,0,0,0,0,0,0,0,17323.10698189968,17323.10698189968,17323.10698189968,19938.0,0,0,0.7333773752973913,0.7333773752973913,0.7333773752973913,0.8440794208543245,True,True,wiki_coreoff_s44_lr1e-3,matched
wiki_coreoff_s46_lr1e-3,val,87621,2129,87533377,2,0,0,0,0,0,0,0,0,0,0,65675.87534709714,65675.87534709714,65675.87534709714,76939.0,0,0,0.7495449189931311,0.7495449189931311,0.7495449189931311,0.8780885860695495,True,True,wiki_coreoff_s46_lr1e-3,matched
wiki_coreoff_s46_lr1e-3,test,23621,767,23597377,2,0,0,0,0,0,0,0,0,0,0,17447.310253567626,17447.310253567626,17447.310253567626,19999.0,0,0,0.7386355469102759,0.7386355469102759,0.7386355469102759,0.846661868676178,True,True,wiki_coreoff_s46_lr1e-3,matched
wiki_curonly_s43_lr1e-3,val,87621,2129,87533377,2,0,0,0,0,0,0,0,0,0,0,66069.15751934238,66069.15751934238,66069.15751934238,77057.0,0,0,0.7540333655098935,0.7540333655098935,0.7540333655098935,0.879435295191792,True,True,wiki_curonly_s43_lr1e-3,matched
wiki_curonly_s43_lr1e-3,test,23621,767,23597377,2,0,0,0,0,0,0,0,0,0,0,18084.544515363417,18084.544515363417,18084.544515363417,20178.0,0,0,0.7656129933264222,0.7656129933264222,0.7656129933264222,0.854239871300961,True,True,wiki_curonly_s43_lr1e-3,matched
