batch,shift_sec,queries,neural_changed_frac,neural_mean_abs_delta,rec_changed_frac,pos_rec_mean,neg_rec_mean,pos_total_mean,mrr,rec_nonzero_frac,pos_rec_delta_vs_t0,mrr_delta_vs_t0
13,3600.0,21,0.0,0.0,,8.070650100708008,0.019635360687971115,10.461200714111328,0.7285459637641907,0.8571428656578064,-0.032286643981933594,0.0
13,86400.0,21,0.0,0.0,,7.790493965148926,0.01919998601078987,10.181044578552246,0.726958692073822,0.8571428656578064,-0.3124427795410156,-0.0015872716903686523
13,2592000.0,21,0.0,0.0,,7.037966728210449,0.017292270436882973,9.428518295288086,0.7258248925209045,0.8571428656578064,-1.0649700164794922,-0.002721071243286133
14,0.0,31,0.0,0.0,,7.155919075012207,0.02120179310441017,9.941131591796875,0.7249263525009155,0.9354838132858276,0.0,0.0
14,3600.0,31,0.0,0.0,,7.132585048675537,0.021173886954784393,9.917797088623047,0.7249263525009155,0.9354838132858276,-0.023334026336669922,0.0
14,86400.0,31,0.0,0.0,,6.898296356201172,0.02074406109750271,9.68350887298584,0.7248141169548035,0.9354838132858276,-0.25762271881103516,-0.00011223554611206055
14,2592000.0,31,0.0,0.0,,6.161301136016846,0.018596312031149864,8.946513175964355,0.7299082279205322,0.9354838132858276,-0.9946179389953613,0.004981875419616699
15,0.0,34,0.0,0.0,,8.075587272644043,0.01977544277906418,11.061116218566895,0.7777339816093445,0.9411764740943909,0.0,0.0
15,3600.0,34,0.0,0.0,,8.05056095123291,0.019747985526919365,11.036087989807129,0.7777339816093445,0.9411764740943909,-0.025026321411132812,0.0
15,86400.0,34,0.0,0.0,,7.799489498138428,0.019347986206412315,10.785017013549805,0.778142511844635,0.9411764740943909,-0.27609777450561523,0.00040853023529052734
15,2592000.0,34,0.0,0.0,,7.040400505065918,0.017419109120965004,10.025927543640137,0.7777339816093445,0.9411764740943909,-1.035186767578125,0.0
