cell,scenario,method,segment,mean,std,count,alpha
E1_a100_N8,A,hist,post,0.17226607343103392,0.05306561458356326,50,100.0
E1_a100_N8,A,hist,pre,0.14233652584364725,0.05308444734768676,50,100.0
E1_a100_N8,A,in,all,0.1575776030907083,0.039308402485901284,50,100.0
E1_a100_N8,A,in,end,0.21381925583425496,0.14454881043905138,50,100.0
E1_a100_N8,A,in,post,0.181739159942191,0.05633775766706454,50,100.0
E1_a100_N8,A,in,pre,0.1522503467249291,0.0580771690856873,50,100.0
E1_a100_N8,A,legs,all,0.5818405768563862,0.13398057196917243,50,0.0
E1_a100_N8,A,legs,end,0.8366062404615419,0.6668135452022478,50,0.0
E1_a100_N8,A,legs,post,0.6804791403483977,0.19141441962288175,50,0.0
E1_a100_N8,A,legs,pre,0.5632984278228157,0.20518311576572137,50,0.0
E1_a100_N8,A,point,all,0.9278854147245056,0.20215606543745407,50,1000.0
E1_a100_N8,A,point,end,0.6108279936292501,0.4246546493450993,50,1000.0
E1_a100_N8,A,point,post,1.0960659193867728,0.30462260753409276,50,1000.0
E1_a100_N8,A,point,pre,0.8940803725621397,0.3201382319259778,50,1000.0
E1_a10_N16,A,cur,all,0.3447022284717155,0.03142159793645656,50,3.0
E1_a10_N16,A,cur,end,0.2709353986977454,0.10200992133655985,50,3.0
E1_a10_N16,A,cur,post,0.2632148280713292,0.0482783224763365,50,3.0
E1_a10_N16,A,cur,pre,0.40539848424499053,0.03191562798128176,50,3.0
E1_a10_N16,A,hist,all,0.2206187972390315,0.030603144564583587,50,10.0
E1_a10_N16,A,hist,end,0.2470625220467241,0.09447381417824698,50,10.0
E1_a10_N16,A,hist,post,0.23618552297597373,0.04267660638343788,50,10.0
E1_a10_N16,A,hist,pre,0.2150224603456808,0.04228130216186002,50,10.0
E1_a10_N16,A,in,all,0.22151345534016165,0.030764495025899213,50,10.0
E1_a10_N16,A,in,end,0.24764478995870526,0.09424292882127924,50,10.0
E1_a10_N16,A,in,post,0.23722594863656088,0.043311263168400824,50,10.0
E1_a10_N16,A,in,pre,0.21586949676269035,0.042487191888021525,50,10.0
E1_a10_N16,A,legs,all,0.4787575188519966,0.06151553763983945,50,0.0
E1_a10_N16,A,legs,end,0.5232292400628894,0.1916857518276188,50,0.0
E1_a10_N16,A,legs,post,0.513554289345466,0.0912353739862349,50,0.0
E1_a10_N16,A,legs,pre,0.46610042392348655,0.08283881439502981,50,0.0
E1_a10_N16,A,point,all,0.591115248140715,0.06586299389672379,50,300.0
E1_a10_N16,A,point,end,0.3935060630443249,0.13152636297992182,50,300.0
E1_a10_N16,A,point,post,0.635542490031457,0.10454255824153516,50,300.0
E1_a10_N16,A,point,pre,0.5750659555622101,0.10002896085839967,50,300.0
E1_a10_N4,A,cur,all,0.4312270106149384,0.08349587601960519,50,10.0
E1_a10_N4,A,cur,end,0.3537230975386276,0.19573711228897975,50,10.0
E1_a10_N4,A,cur,post,0.36751597500756167,0.16730154497745237,50,10.0
E1_a10_N4,A,cur,pre,0.5034577373046101,0.06944034809924317,50,10.0
E1_a10_N4,A,hist,all,0.2862979813464649,0.09727201351408112,50,10.0
E1_a10_N4,A,hist,end,0.34915721624658547,0.19174889556905628,50,10.0
E1_a10_N4,A,hist,post,0.36117062801515076,0.1665977837436254,50,10.0
E1_a10_N4,A,hist,pre,0.28402975565320826,0.12247905041128332,50,10.0
E1_a10_N4,A,in,all,0.28951879270997016,0.09635748271378113,50,10.0
E1_a10_N4,A,in,end,0.35272367961882695,0.19294889417622388,50,10.0
E1_a10_N4,A,in,post,0.3660150626404476,0.16703870449650565,50,10.0
E1_a10_N4,A,in,pre,0.2864532159012927,0.12170809151590073,50,10.0
E1_a10_N4,A,legs,all,0.6447704590222874,0.22641203089543713,50,0.0
E1_a10_N4,A,legs,end,0.8010332104244432,0.410303129965846,50,0.0
E1_a10_N4,A,legs,post,0.816402187648561,0.36078649860277057,50,0.0
E1_a10_N4,A,legs,pre,0.6344781482737557,0.2787133929208632,50,0.0
E1_a10_N4,A,point,all,1.478230919530736,0.519198537061437,50,1000.0
E1_a10_N4,A,point,end,1.0222856294876737,0.5556293315556745,50,1000.0
E1_a10_N4,A,point,post,1.8820389291864068,0.8197878057734359,50,1000.0
E1_a10_N4,A,point,pre,1.446844661997011,0.6175313072333423,50,1000.0
E1_a10_N8,A,cur,all,0.3584668709013801,0.04100928871776312,50,3.0
