cell,scenario,segment,pair,n,mean_diff,ci_lo,ci_hi,n_neg,n_pos,rel_mean_diff
E1_a10_N4,A,pre,hist-legs,50,-0.35044839262054744,-0.39709126080361296,-0.30841105175726863,50,0,-0.5523411540240166
E1_a10_N4,A,pre,cur-legs,50,-0.13102041096914566,-0.19426223077329363,-0.07451455071378653,33,17,-0.2065010612668331
E1_a10_N8,A,all,hist-cur,50,-0.13146526349121734,-0.14100550304503437,-0.12182116201778803,50,0,-0.3667431335025253
E1_a10_N8,A,all,hist-in,50,-0.0014448283879222013,-0.002104725262532272,-0.0007769732880610304,38,12,-0.006324582753390953
E1_a10_N8,A,all,in-cur,50,-0.13002043510329517,-0.13925320609304428,-0.12051174716934844,50,0,-0.3627125563273206
E1_a10_N8,A,all,hist-legs,50,-0.2736050960663605,-0.28898232529399015,-0.2588144118926273,50,0,-0.5465470081928132
E1_a10_N8,A,all,cur-legs,50,-0.14213983257514318,-0.1633782505590903,-0.12342845207099624,50,0,-0.28393513628170797
E1_a10_N8,A,end,hist-cur,50,-0.03931844303932421,-0.05147659968390539,-0.028427633740389438,45,5,-0.11419830446016538
E1_a10_N8,A,end,hist-in,50,-0.0015037211911716345,-0.0027297852062356134,-0.0002965290540790801,32,18,-0.004906345342378088
E1_a10_N8,A,end,in-cur,50,-0.03781472184815258,-0.050292406704657226,-0.026988531149765134,44,6,-0.10983082708470386
E1_a10_N8,A,end,hist-legs,50,-0.36844861634161624,-0.4346787007419977,-0.3121702380219987,50,0,-0.5471224633877094
E1_a10_N8,A,end,cur-legs,50,-0.3291301733022921,-0.3891061305526282,-0.28063936414038015,50,0,-0.4887371079863501
E1_a10_N8,A,post,hist-cur,50,-0.0338840320704666,-0.03804107222158177,-0.03001228298444529,50,0,-0.11633512929756253
E1_a10_N8,A,post,hist-in,50,-0.0012305749408470469,-0.001983678232072998,-0.00043384396275823175,36,14,-0.004758441909096371
E1_a10_N8,A,post,in-cur,50,-0.032653457129619555,-0.0369335654627392,-0.02861365374725072,50,0,-0.1121101570582475
E1_a10_N8,A,post,hist-legs,50,-0.31453435149929754,-0.33795701502230696,-0.29213965596072106,50,0,-0.5499692884512065
E1_a10_N8,A,post,cur-legs,50,-0.28065031942883095,-0.3004168164686945,-0.2611792142451127,50,0,-0.49072241471921607
E1_a10_N8,A,pre,hist-cur,50,-0.19288276697598833,-0.20252129372601763,-0.18338454263444678,50,0,-0.46514070941125674
E1_a10_N8,A,pre,hist-in,50,-0.0017606576376667821,-0.002811345282354193,-0.0008411833633554379,35,15,-0.007875757872289352
E1_a10_N8,A,pre,in-cur,50,-0.19112210933832152,-0.20095696802796428,-0.181437948333055,50,0,-0.46089484776454653
E1_a10_N8,A,pre,hist-legs,50,-0.2640635082104734,-0.287109372123495,-0.24433608622466105,50,0,-0.5435005722306597
E1_a10_N8,A,pre,cur-legs,50,-0.07118074123448503,-0.09966569901683804,-0.044050252658888164,41,9,-0.14650556547900442
E1_a1_N16,A,all,hist-cur,50,-0.02977333302337961,-0.03283770341723609,-0.026833808510242373,50,0,-0.0894267326876584
E1_a1_N16,A,all,hist-in,50,-4.073608904097137e-05,-0.00010235644048460096,2.307334117910424e-05,25,25,-0.00013435257392771445
E1_a1_N16,A,all,in-cur,50,-0.029732596934338638,-0.032718910350482966,-0.02684380626790525,50,0,-0.08930437838682996
E1_a1_N16,A,all,hist-legs,50,-0.07828065451682382,-0.08168884937663001,-0.07517506258110533,50,0,-0.20522251896479504
E1_a1_N16,A,all,cur-legs,50,-0.04850732149344422,-0.0526701322003584,-0.04421682550760076,50,0,-0.1271680055125282
E1_a1_N16,A,end,hist-cur,50,-0.0001631991720114595,-0.0004198913389639713,8.746100849890051e-05,28,22,-0.0005146413313770994
E1_a1_N16,A,end,hist-in,50,-9.508401389598575e-05,-0.00018725236573284977,2.1847476784809262e-06,31,19,-0.00029990762897568504
E1_a1_N16,A,end,in-cur,50,-6.811515811547375e-05,-0.00033669564413732575,0.00020534758510068336,26,24,-0.0002147981219968908
E1_a1_N16,A,end,hist-legs,50,-0.07888327079052627,-0.08850239118457472,-0.07017357721253761,50,0,-0.19928446260692953
E1_a1_N16,A,end,cur-legs,50,-0.07872007161851481,-0.08812426972240756,-0.06946926334137048,50,0,-0.1988721691134388
E1_a1_N16,A,post,hist-cur,50,-0.000377262627530352,-0.0005324606549651008,-0.0002349702872581904,36,14,-0.0011882748537629284
E1_a1_N16,A,post,hist-in,50,-7.460900276689497e-05,-0.00015649083259611522,4.6539942159624765e-06,31,19,-0.00023522233511530266
E1_a1_N16,A,post,in-cur,50,-0.000302653624763457,-0.0004675583084081495,-0.00014469331003805975,34,16,-0.0009532767506309201
E1_a1_N16,A,post,hist-legs,50,-0.08221199603562766,-0.08666904877524657,-0.07772580313282217,50,0,-0.20587874133969247
E1_a1_N16,A,post,cur-legs,50,-0.0818347334080973,-0.08660588059506116,-0.07731827296611082,50,0,-0.20493398438625715
E1_a1_N16,A,pre,hist-cur,50,-0.054104640470807396,-0.059016762943330414,-0.04941689150213627,50,0,-0.15496362981155137
