cell,scenario,segment,pair,n,mean_diff,ci_lo,ci_hi,n_neg,n_pos,rel_mean_diff
R1_theta0,A,post,hist-legs,50,-0.07687070408146557,-0.08146801049734019,-0.07239198956518798,50,0,-0.20171907519905483
R1_theta0,A,post,cur-legs,50,-0.07687070408146558,-0.08137374844543274,-0.07242328474724401,50,0,-0.20171907519905485
R1_theta0,A,pre,hist-cur,50,-2.831068712794149e-17,-7.771561172376095e-17,2.1094237467877975e-17,21,16,-9.710138939051581e-17
R1_theta0,A,pre,hist-in,50,-9.433009928727643e-15,-1.1605094663025282e-13,9.849462911937225e-14,27,23,-3.23538021551565e-14
R1_theta0,A,pre,in-cur,50,9.4046992415997e-15,-9.514374010866079e-14,1.1548886846846074e-13,23,27,3.2256700765767034e-14
R1_theta0,A,pre,hist-legs,50,-0.07413124162284623,-0.07841111963607579,-0.06991959604704114,50,0,-0.20271649445518505
R1_theta0,A,pre,cur-legs,50,-0.0741312416228462,-0.07846960810506752,-0.06962608143580712,50,0,-0.20271649445518497
R1_theta45,A,all,hist-cur,50,-0.02977333302337961,-0.032821320618443416,-0.026753810938897494,50,0,-0.0894267326876584
R1_theta45,A,all,hist-in,50,-4.073608904097137e-05,-0.00010151428480821101,2.2013341700775867e-05,25,25,-0.00013435257392771445
R1_theta45,A,all,in-cur,50,-0.029732596934338638,-0.03286050228808387,-0.02666414007107271,50,0,-0.08930437838682996
R1_theta45,A,all,hist-legs,50,-0.07828065451682382,-0.08154585909570022,-0.07501115334393786,50,0,-0.20522251896479504
R1_theta45,A,all,cur-legs,50,-0.04850732149344422,-0.05281377146548458,-0.04399652259927092,50,0,-0.1271680055125282
R1_theta45,A,post,hist-cur,50,-0.000377262627530352,-0.0005256892657912055,-0.00022984938462165594,36,14,-0.0011882748537629284
R1_theta45,A,post,hist-in,50,-7.460900276689497e-05,-0.0001518072735408992,5.916464636606681e-06,31,19,-0.00023522233511530266
R1_theta45,A,post,in-cur,50,-0.000302653624763457,-0.0004717374472314214,-0.0001464949261457533,34,16,-0.0009532767506309201
R1_theta45,A,post,hist-legs,50,-0.08221199603562766,-0.08693448437149427,-0.07744969050844225,50,0,-0.20587874133969247
R1_theta45,A,post,cur-legs,50,-0.0818347334080973,-0.0866588030291732,-0.07734736941183755,50,0,-0.20493398438625715
R1_theta45,A,pre,hist-cur,50,-0.054104640470807396,-0.05881189048800531,-0.04943039880541275,50,0,-0.15496362981155137
R1_theta45,A,pre,hist-in,50,-1.4474307243632634e-05,-9.160478419889605e-05,6.160212647601499e-05,27,23,-4.905647579993215e-05
R1_theta45,A,pre,in-cur,50,-0.05409016616356376,-0.05898472841820692,-0.04938979955779295,50,0,-0.1549221732715954
R1_theta45,A,pre,hist-legs,50,-0.07594895424608468,-0.07991918048665382,-0.07203536553067065,50,0,-0.20472054361907144
