cell,scenario,method,alpha,segment,mean,std,count
N32,B,point,1.0,all,0.26553028034572784,0.01616141963554021,50
N32,B,point,1.0,post,0.22858240591247178,0.03530995565166048,50
N32,B,point,1.0,pre,0.3124865137597409,0.032386000727383644,50
N32,B,point,3.0,all,0.30360772065284675,0.035591306729493816,50
N32,B,point,3.0,post,0.20989684859096822,0.04582082444526353,50
N32,B,point,3.0,pre,0.38891989415686623,0.03187673023189027,50
N32,B,point,10.0,all,0.359400633951221,0.05007790876277887,50
N32,B,point,10.0,post,0.21904940466322823,0.06174004040039932,50
N32,B,point,10.0,pre,0.4741844231773939,0.03485745426832056,50
N32,B,point,30.0,all,0.39074342848978993,0.05629087825104932,50
N32,B,point,30.0,post,0.22999476438492933,0.06978228805718424,50
N32,B,point,30.0,pre,0.5187217540831381,0.0359439515481531,50
N32,B,point,100.0,all,0.4070446749054292,0.059273960814326586,50
N32,B,point,100.0,post,0.23708404294686325,0.07370773861495827,50
N32,B,point,100.0,pre,0.54118333921643,0.03651925504928087,50
N4,A,cur,0.0,all,0.7740921780386267,0.12643144230212458,50
N4,A,cur,0.0,post,0.771387327035453,0.13245141781125888,50
N4,A,cur,0.0,pre,0.7658819837590292,0.16927332690598731,50
N4,A,cur,0.01,all,0.7740877680495604,0.1264284798158005,50
N4,A,cur,0.01,post,0.7712771896394144,0.1324860466303451,50
N4,A,cur,0.01,pre,0.7659719125920126,0.16924488413553226,50
N4,A,cur,0.03,all,0.7740945716853662,0.12641532410168324,50
N4,A,cur,0.03,post,0.7710696356038558,0.13255200686252566,50
N4,A,cur,0.03,pre,0.7661759513716768,0.16916672671120422,50
N4,A,cur,0.1,all,0.774256240951687,0.12630561075753893,50
N4,A,cur,0.1,post,0.7704599178202554,0.13275234385610002,50
N4,A,cur,0.1,pre,0.7670987741779137,0.16870763900007096,50
N4,A,cur,0.3,all,0.7754503428870798,0.1256582662448022,50
N4,A,cur,0.3,post,0.7694182808297423,0.13313741983702648,50
N4,A,cur,0.3,pre,0.7707561511941045,0.16646426906203832,50
N4,A,cur,1.0,all,0.7814803264187767,0.12265488198463764,50
N4,A,cur,1.0,post,0.7689380942797193,0.13358353666814327,50
N4,A,cur,1.0,pre,0.7846359100843824,0.15725591556144636,50
N4,A,cur,3.0,all,0.793020364001221,0.1172787594066141,50
N4,A,cur,3.0,post,0.7709196513461555,0.13359817657281056,50
N4,A,cur,3.0,pre,0.807824337516559,0.14239144614211643,50
N4,A,cur,10.0,all,0.8054266396374072,0.11191019373190247,50
N4,A,cur,10.0,post,0.774203105675474,0.13336610548114902,50
N4,A,cur,10.0,pre,0.8309945292605605,0.128582023630685,50
N4,A,cur,30.0,all,0.8122100215027837,0.10911302272553125,50
N4,A,cur,30.0,post,0.7762767709734159,0.13316749558141683,50
N4,A,cur,30.0,pre,0.8431717091539715,0.12178216517049069,50
N4,A,cur,100.0,all,0.8156920231289787,0.10771677450752234,50
N4,A,cur,100.0,post,0.7774431283841047,0.1330062478919032,50
N4,A,cur,100.0,pre,0.8492683926199599,0.11855973618725664,50
N4,A,hist,0.0,all,0.7740921780386267,0.12643144230212455,50
N4,A,hist,0.0,post,0.771387327035453,0.1324514178112589,50
N4,A,hist,0.0,pre,0.7658819837590294,0.16927332690598731,50
N4,A,hist,0.01,all,0.7740850974872848,0.1264311613563561,50
N4,A,hist,0.01,post,0.7713574279503791,0.1324681470632125,50
N4,A,hist,0.01,pre,0.765871476202171,0.16928520187801072,50
N4,A,hist,0.03,all,0.7740770122994391,0.1264297906699685,50
N4,A,hist,0.03,post,0.7713052807124933,0.1324998552808805,50
N4,A,hist,0.03,pre,0.7658577339537405,0.16930667903252403,50
N4,A,hist,0.1,all,0.7741027323636227,0.1264179403480882,50
N4,A,hist,0.1,post,0.7711916409919779,0.13259475014151886,50
N4,A,hist,0.1,pre,0.7658743762121525,0.16936111114970387,50
N4,A,hist,0.3,all,0.774470386379834,0.12634804002553018,50
N4,A,hist,0.3,post,0.7712570581209789,0.13276909315983293,50
N4,A,hist,0.3,pre,0.7662757878005604,0.16939467750703155,50
N4,A,hist,1.0,all,0.7766211912841742,0.12602930482756955,50
N4,A,hist,1.0,post,0.772882124971455,0.13293670353080642,50
N4,A,hist,1.0,pre,0.768740170089639,0.1690037087900462,50
N4,A,hist,3.0,all,0.7812061362766656,0.1253821412157533,50
